Sample ID	User ID	Date 	Time 	ng/ul 	A260 	A280 	260/280 	260/230 	Constant 	Cursor Pos.	Cursor abs.	340 raw
	Default	9/13/2016	10:01 AM	47.56	0.951	0.447	2.13	2.25	50.00	230	0.423	0.073
	Default	9/13/2016	10:02 AM	52.25	1.045	0.499	2.09	2.19	50.00	230	0.478	0.079
	Default	9/13/2016	3:06 PM	-7.90	-0.158	-0.100	1.58	0.43	50.00	230	-0.369	0.008
1	Default	9/13/2016	3:12 PM	65.67	1.313	0.667	1.97	2.75	50.00	230	0.478	0.217
1	Default	9/13/2016	3:14 PM	5.73	0.115	0.086	1.33	1.64	50.00	230	0.070	0.006
1	Default	9/13/2016	3:15 PM	104.31	2.086	0.990	2.11	2.45	50.00	230	0.850	0.037
1	Default	9/13/2016	3:16 PM	50.37	1.007	0.527	1.91	2.22	50.00	230	0.455	0.017
1	Default	9/13/2016	3:17 PM	8.94	0.179	0.109	1.64	1.82	50.00	230	0.098	0.002
1	Default	9/13/2016	3:18 PM	86.09	1.722	0.854	2.02	2.17	50.00	230	0.794	0.056
1	Default	9/13/2016	3:20 PM	9.33	0.187	0.119	1.57	1.85	50.00	230	0.101	-0.005
1	Default	9/13/2016	3:21 PM	87.47	1.749	0.860	2.03	2.07	50.00	230	0.846	0.077
1	Default	9/13/2016	3:22 PM	46.97	0.939	0.558	1.68	1.36	50.00	230	0.691	0.068
1	Default	9/13/2016	3:23 PM	17.86	0.357	0.219	1.63	1.96	50.00	230	0.183	-0.011
